,ID,Platform,Name,Description,Keywords,Licenses,Repository URL,Versions Count,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Name with Owner,Repository Description,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host,Homepage URL,Homepage Domain,Binding Host Normalized,Binding Host Normalized - No Space,Host Repo IDs,is official,Type
84944,1420731,npm,fable-import-electron,Fable bindings for Electron,"fable,fable-compiler,fsharp,F#",Apache-2.0,https://github.com/fable-compiler/Fable,9,0,,10,4628130,GitHub,fable-compiler/Fable,F# to JavaScript Compiler,False,1762.0,MIT,,"babel,fable,fsharp,javascript",Electron,https://github.com/fable-compiler/Fable,github,electron,electron,['25543319'],community,Binding
84988,1421848,PyPI,smac,"SMAC3, a Python implementation of 'Sequential Model-based Algorithm Configuration'.","machine learning,algorithm configuration,hyperparameter optimization,tuning",BSD-3-Clause,,22,0,,27,,,,,,,,,,SMAC3,UNKNOWN,UNKNOWN,smac3,smac3,['12660458'],community,Binding
85279,1428287,Rubygems,mitier,MITIE library wrapped in Ruby with FFI. See https://github.com/mit-nlp/MITIE,,MIT,https://github.com/satek/mitier,1,0,,0,9817637,GitHub,satek/mitier,MITIE library wrapped in Ruby with FFI,False,3.0,MIT,,,MITIE,http://github.com/satek/mitier,github,mitie,mitie,['852257'],community,Binding
85332,1430236,NuGet,i2e.gesture-recognition,A .NET api for gesture recognition,"gestures,human-computer-interaction",,https://github.com/i2e-haw-hamburg/gesture-recognition,22,0,,0,6446534,GitHub,i2e-haw-hamburg/gesture-recognition,,False,0.0,,,,gesture recognition,https://github.com/i2e-haw-hamburg/gesture-recognition,github,gesture recognition,gesturerecognition,"['3826983', '40137568']",community,Binding
85333,1430244,PyPI,cv2-wrapper,Wrapper for python opencv 2.4.12 32bit,"opencv,cv2,python",Other,https://github.com/lucasolivier/cv2-wrapper,1,0,,3,9837783,GitHub,lucasolivier/cv2-wrapper,,False,0.0,,Removed,,opencv,https://github.com/lucasolivier/cv2-wrapper,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
85409,1432215,NuGet,Td.Client,TD Client Provider,,,,1,0,,0,,,,,,,,,,TD,,,td,td,['37155161'],community,Binding
85415,1432255,PyPI,zoo,Zoo is a rpc framework for Python,,MIT,https://github.com/omsobliga/zoo,1,0,,4,,,,,,,,,,Zoo,https://github.com/omsobliga/zoo,github,zoo,zoo,['39112241'],community,Binding
85461,1434057,npm,opencv2,Node Bindings to OpenCV,"opencv,computer,vision,quadrocopter",MIT,https://github.com/peterbraden/node-opencv,1,0,,0,120303,GitHub,peterbraden/node-opencv,OpenCV Bindings for node.js,False,3893.0,MIT,,,OpenCV,https://github.com/peterbraden/node-opencv,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
85493,1434332,PyPI,cv2wrap,Wrapper for python opencv 2.4.12 32bit,"opencv,cv2,python",Other,https://github.com/lucasolivier/cv2wrap,1,0,,3,9875262,GitHub,iolucas/cv2wrap,,False,0.0,MIT,,,opencv,https://github.com/lucasolivier/cv2wrap,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
85599,1436440,Cargo,tensorflow,Rust language bindings for TensorFlow.,"bindings,tensorflow",Apache-2.0,https://github.com/tensorflow/rust,20,7,,20,4944486,GitHub,tensorflow/rust,Rust language bindings for TensorFlow,False,2064.0,Apache-2.0,,"machine-learning,rust,tensorflow",TensorFlow,,,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",same_repo_owner,Binding
85716,1439031,npm,flowpipe,pipeline async utilities for javascript,"async,flowpipe,pipe,pipe,loop,loopback",ISC,https://github.com/proin/pipeflow,19,1,,2,9968595,GitHub,proin/flowpipe,pipeline async utilities for javascript,False,7.0,ISC,,,pipeline,https://github.com/proin/pipeflow,github,pipeline,pipeline,"['2699195', '3765103']",community,Binding
85722,1439100,Rubygems,mantisrb,Ruby api client for Mantis bug tracker,,MIT,https://github.com/eiser82/mantisrb,1,0,,4,9969874,GitHub,eiser82/mantisrb,Ruby api client for Mantis bug tracker,False,0.0,MIT,,,Mantis,https://github.com/eiser82/mantisrb,github,mantis,mantis,['8640913'],community,Binding
85739,1440995,PyPI,opencv-python,Wrapper package for OpenCV python bindings.,,MIT,https://github.com/skvark/opencv-python,30,4,,6280,8203653,GitHub,skvark/opencv-python,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-contrib-python-headless packages.",False,1066.0,Other,,"manylinux,opencv,opencv-contrib-python,opencv-python,precompiled,pypi,python,python-3,wheel",OpenCV,https://github.com/skvark/opencv-python,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
85781,1441597,PyPI,doom-py,Python bindings to ViZDoom,,MIT,https://github.com/openai/doom-py,15,0,,8,9999819,GitHub,openai/doom-py,ViZDoom Python wrapper,False,52.0,MIT,,,ViZDoom,https://github.com/openai/doom-py,github,vizdoom,vizdoom,['6682416'],community,Binding
85784,1441620,PyPI,mmtf-pyspark,A library to act as an API for mmtf-spark tools.,,Apache-2.0,https://github.com/rcsb/mmtf-pyspark,11,0,,0,9999625,GitHub,rcsb/mmtf-pyspark,,False,1.0,Apache-2.0,Removed,,mmtf-spark,https://github.com/rcsb/mmtf-pyspark.git,github,mmtf spark,mmtfspark,['25476181'],community,Binding
85902,1446808,PyPI,cv_utils,Computer Vision or OpenCV python utility functions. It also includes basic utilities for image processing and computer vision related tasks.,"computer vision,image processing,utility,template matching,deep networks",Other,https://github.com/gmichaeljaison/cv-utils,6,0,,1,10029707,GitHub,gmichaeljaison/cv-utils,Computer Vision and OpenCV python utility functions. It also includes basic utilities for image processing and computer vision related tasks.,False,5.0,GPL-3.0,,,OpenCV,https://github.com/gmichaeljaison/cv-utils,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
85977,1454465,npm,competitive-logger,A wrapper for winston,,ISC,https://github.com/ajouve/competitive-logger,7,0,,0,10055828,GitHub,ajouve/competitive-logger,,False,0.0,,,,winston,https://github.com/ajouve/competitive-logger,github,winston,winston,['72007'],community,Binding
86057,1462394,npm,munin-hci,"Server counterpart to hugin, a library that facilitates information retrieval and centralization for longitudinal HCI studies",,MIT,https://github.com/oin/munin-hci,3,0,,0,10084370,GitHub,oin/munin-hci,"Server counterpart to hugin, a library that facilitates information retrieval and centralization for longitudinal HCI studies.",False,0.0,MIT,,,hugin,https://github.com/oin/munin-hci,github,hugin,hugin,['40354167'],community,Binding
86060,1462419,npm,hapiest-logger,A wrapper around Winston that provides explicit functions for syslog logging levels,"hapi.js,hapiest,logger,logging,winston",ISC,https://github.com/jonathan-fulton/hapiest-logger,8,12,,10,10078608,GitHub,jonathan-fulton/hapiest-logger,,False,0.0,,,,Winston,https://github.com/jonathan-fulton/hapiest-logger,github,winston,winston,['72007'],community,Binding
86127,1462898,npm,warp-sdk-js,Warp JavaScript SDK,"warp,js",MIT,https://github.com/dividedbyzeroco/warp-sdk-js,167,2,,2,10101626,GitHub,dividedbyzeroco/warp-sdk-js,JavaScript SDK for Warp Server,False,7.0,,,,Warp,https://github.com/dividedbyzeroco/warp-sdk-js,github,warp,warp,['793643'],community,Binding
86302,1475703,Packagist,getolympus/olympus,"The Olympus framework, your simple, easy to use and powerfull framework to deploy and work with WordPress. An awesome framework build with ♥ for WordPress developers.","framework,php,composer,wordpress,capistrano,olympus",MIT,https://github.com/GetOlympus/Olympus,22,0,,0,4442224,GitHub,GetOlympus/Olympus,"Olympus, the easiest and secure way to install WordPress websites with the powerfull Zeus Core framework.",False,1.0,MIT,,"capistrano,composer,olympus,olympus-framework,wordpress,wordpress-development,wordpress-website",Olympus,,,olympus,olympus,['30174392'],community,Binding
86309,1475823,npm,tbx,Toolbox for Node,,ISC,https://github.com/meg768/tbx,4,0,,0,10170123,GitHub,meg768/node-tbx,Toolbox for Node,False,0.0,,Removed,,Toolbox,https://github.com/meg768/tbx,github,toolbox,toolbox,['8342728'],community,Binding
86312,1475884,PyPI,neon-py,NEON parser for Python,"neon,parser,config file",BSD-3-Clause,https://github.com/paveldedik/neon-py,5,0,,0,10172613,GitHub,paveldedik/neon-py,NEON parser for Python.,False,18.0,BSD-3-Clause,,"neon,nette,parsing,python,yaml",NEON,https://github.com/paveldedik/neon-py,github,neon,neon,['845216'],community,Binding
86315,1475902,npm,sia-api,SIA REST API Wrapper,"sia,siacoin,storage,distributed",MIT,https://github.com/aspectron/sia-api,14,0,,1,10173036,GitHub,MegaStor/sia-api,,False,0.0,,,,SIA,https://github.com/aspectron/sia-api,github,sia,sia,['16694501'],community,Binding
86317,1475963,npm,electron-meteor,Full Meteor Client for Electron,"react-component,ddp,meteor,react,electron",MIT,https://github.com/inProgress-team/electron-meteor,5,0,,0,10176136,GitHub,inProgress-team/electron-meteor,,False,11.0,MIT,,,Electron,https://github.com/inProgress-team/electron-meteor,github,electron,electron,['25543319'],community,Binding
86442,1480715,CocoaPods,NTPKit,A Simple NTP framework for iOS,,BSD-3-Clause,https://github.com/ncvitak/NTPKit,2,0,,1,10124034,GitHub,ncvitak/NTPKit,A simple NTP framework for iOS,False,2.0,BSD-2-Clause,,,NTP,https://github.com/ncvitak/NTPKit,github,ntp,ntp,['32528693'],community,Binding
86470,1481056,PyPI,cortex,A library for wrapping your pytorch code,deep learning neuroimaging,GPL-2.0+,https://github.com/rdevon/cortex,4,0,,0,10229294,GitHub,rdevon/cortex_old,Cortex - Deep learning tools for neuroimaging,False,29.0,GPL-3.0,,,pytorch,https://github.com/rdevon/cortex,github,pytorch,pytorch,['18883757'],community,Binding
86532,1481772,npm,@ryancavanaugh/gamepad,Type definitions for Gamepad API from https://www.github.com/DefinitelyTyped/DefinitelyTyped,,MIT,,8,0,,0,,,,,,,,,,Gamepad,,,gamepad,gamepad,['38470828'],community,Binding
86706,1487158,NuGet,VowpalWabbit.JSON,Official Vowpal Wabbit library including C# interface.,"vw,wabbit,ml,vowpal,langford,machine,learning",Other,https://github.com/JohnLangford/vowpal_wabbit,71,2,,0,852009,GitHub,VowpalWabbit/vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",False,6767.0,Other,,"active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",Vowpal Wabbit,https://github.com/JohnLangford/vowpal_wabbit/wiki/C%23-Binding,github,vowpal wabbit,vowpalwabbit,"['852009', '39434262']",same_repo,Binding
86741,1494797,Packagist,herzcthu/laravel-nmap,nmap wrapper for laravel 5.2,,MIT,https://github.com/herzcthu/LaravelNmap,1,0,,1,10349333,GitHub,herzcthu/LaravelNmap,Nmap wrapper for laravel,False,4.0,MIT,,,nmap,,,nmap,nmap,['852438'],community,Binding
86936,1508005,PyPI,screeps,Library connecting to the screeps api.,,AGPL-3.0,https://github.com/TooAngel/python-screeps,6,0,,1,10471975,GitHub,TooAngel/python-screeps,Library to connect to the screeps API either via REST or websocket.,False,2.0,AGPL-3.0,,,screeps,https://github.com/TooAngel/python-screeps,github,screeps,screeps,['15141670'],same_repo_owner,Binding
87374,1519056,PyPI,kerasio,Deep Learning for Python,,MIT,https://github.com/fchollet/keras,2,0,,0,815940,GitHub,keras-team/keras,Deep Learning for humans,False,45995.0,Other,,"data-science,deep-learning,machine-learning,neural-networks,python,tensorflow",Deep Learning,https://github.com/fchollet/keras,github,deep learning,deeplearning,"['851269', '2966203', '2989847', '3068030', '3088491', '3459073', '3522986', '3768078', '3984140', '3984213', '4387572', '4611958', '4976042', '6229890', '6995779', '11786389', '18843917', '20081109', '20241548', '21718912', '24656936', '25411819', '25454467', '26873714', '27095120', '28451439', '29254147', '30621862', '30749079', '31595197', '33132158', '33200728', '35379437', '41184013']",community,Binding
87587,1522921,npm,translate-resx,Translate .resx files with the translation API provided by Google Cloud Platform,"translate-resx,.resx translation,resource file translations,google translate api",MIT,https://github.com/ryanluton/translate-resx,2,0,,0,10668048,GitHub,ryanluton/translate-resx,RESX Translations provided by the google translate API,False,0.0,,,,Translate,https://github.com/ryanluton/translate-resx,github,translate,translate,['35774700'],community,Binding
87650,1523833,npm,zipkin-context-cls,A Context API implementation that uses continuation-local-storage under the hood,,Apache-2.0,https://github.com/openzipkin/zipkin-js,15,45,,65,10076291,GitHub,openzipkin/zipkin-js,Zipkin instrumentation for Node.js and browsers,False,376.0,,,"distributed-tracing,javascript,nodejs,openzipkin,tracing,zipkin",Context,https://github.com/openzipkin/zipkin-js,github,context,context,['26252700'],community,Binding
87780,1526047,PyPI,pyramid-avro,Avro RPC Bindings for Pyramid,pyramid avro,Apache-2.0,https://github.com/packagelib/pyramid-avro,3,0,,0,10740537,GitHub,packagelib/pyramid-avro,Avro RPC Plugin for Pyramid Web Applications,False,0.0,,,,Pyramid,http://github.com/packagelib/pyramid-avro,github,pyramid,pyramid,['10568701'],community,Binding
87783,1526064,npm,mantra-plus,Core API for Mantra,,MIT,https://github.com/sammkj/mantra-plus,8,0,,3,10722812,GitHub,sammkj/mantra-plus,Core API with extras for Mantra,False,4.0,,,,Mantra,https://github.com/sammkj/mantra-plus,github,mantra,mantra,['37266822'],community,Binding
87806,1526343,PyPI,bob.example.cmake,Example project using Bob C++ interface,,GPL-3.0,https://github.com/bioidiap/bob.example.cmake,2,0,,0,10449339,GitHub,bioidiap/bob.example.cmake,Example package on how to use the C++ interface of Bob,False,0.0,BSD-3-Clause,Removed,,Bob,https://github.com/bioidiap/bob.example.cmake,github,bob,bob,"['681624', '18843112']",community,Binding
87824,1526860,npm,hackerrank-cli,HackerRank Node CLI for running code online,"hackerrank,compile,run,manraj,singh,cli,code,grover",MIT,https://github.com/ManrajGrover/HackerRank-CLI,6,0,,0,10728350,GitHub,ManrajGrover/HackerRank-CLI,CLI for running code using HackerRank API,False,7.0,MIT,,,HackerRank,https://github.com/ManrajGrover/HackerRank-CLI,github,hackerrank,hackerrank,['39033611'],community,Binding
88057,1529808,PyPI,stanza,NLP library for Python,"nlp,neural networks,machine learning",MIT,https://github.com/stanfordnlp/stanza,3,0,,1,4612461,GitHub,stanfordnlp/stanza,Stanford NLP group's shared Python tools.,False,121.0,Apache-2.0,,"natural-language-processing,nlp,python,text-analysis,text-processing",NLP,https://github.com/stanfordnlp/stanza,github,nlp,nlp,"['22309865', '31964017', '38155979']",community,Binding
88202,1531376,PyPI,tflearn,Deep Learning Library featuring a higher-level API for TensorFlow,"TFLearn,TensorFlow,Deep Learning,Machine Learning,Neural Networks,AI",MIT,https://github.com/tflearn/tflearn,5,0,,327,7464544,GitHub,tflearn/tflearn,Deep learning library featuring a higher-level API for TensorFlow.,False,8752.0,Other,Removed,"data-science,deep-learning,machine-learning,neural-network,tensorflow,tflearn",TensorFlow,https://github.com/tflearn/tflearn,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
88444,1535932,Packagist,linkthrow/laravel-5-predictionio,Laravel 5 wrapper for PredictionIO v0.9.*,"api,wrapper,laravel,machine learning,predictionio",MIT,https://github.com/linkthrow/laravel-predictionio,7,0,,0,10956791,GitHub,linkthrow/Laravel-5-PredictionIO,Laravel PredictionIO Client,True,0.0,,Removed,,PredictionIO,,,predictionio,predictionio,['573443'],community,Binding
88595,1538809,Rubygems,alchemy-sdk,SDK to connect to the Alchemy API.,,MIT,https://github.com/bschaeffer/alchemy-sdk,1,0,,1,10998570,GitHub,bschaeffer/alchemy-sdk,,False,0.0,,,,Alchemy,https://github.com/bschaeffer/alchemy-sdk,github,alchemy,alchemy,"['13491787', '40396672']",community,Binding
88610,1538910,PyPI,wordsmith,A wrapper around the Wordsmith API written in python,,Other,https://github.com/AutomatedInsightsInc/wordsmith-python-sdk,2,0,,0,,,,,,,,,,Wordsmith,UNKNOWN,UNKNOWN,wordsmith,wordsmith,['5628444'],community,Binding
88815,1542056,PyPI,arena,python interface to the are.na api,,MIT,https://github.com/frnsys/arena,5,0,,4,11070078,GitHub,frnsys/arena,python interface to the are.na API,False,12.0,,,,are.na,https://github.com/frnsys/arena,github,are na,arena,['37026823'],community,Binding
88876,1543187,npm,hackerrank-node-wrapper,HackerRank API Node Wrapper,"hackerrank,node,wrapper,api,manraj,singh,grover",MIT,https://github.com/ManrajGrover/HackerRank-API-Node-Wrapper,4,0,,1,11090923,GitHub,ManrajGrover/HackerRank-Node-Wrapper,HackerRank API Node Wrapper,False,2.0,MIT,,,HackerRank,https://github.com/ManrajGrover/HackerRank-API-Node-Wrapper,github,hackerrank,hackerrank,['39033611'],community,Binding
88956,1544779,NuGet,layer.dotnet,Layer API .NET portable library,Layer,,https://github.com/ahanoff/layer-api,1,0,,0,11059717,GitHub,ahanoff/layer-api,,False,1.0,,,,Layer,https://github.com/ahanoff/layer-api,github,layer,layer,['38723395'],community,Binding
89189,1547862,PyPI,vowpalwabbit,Vowpal Wabbit Python package,fast machine learning online classification regression,BSD-1-Clause,https://github.com/JohnLangford/vowpal_wabbit,8,0,,7,852009,GitHub,VowpalWabbit/vowpal_wabbit,"Vowpal Wabbit is a machine learning system which pushes the frontier of machine learning with techniques such as online, hashing, allreduce, reductions, learning2search, active, and interactive learning.",False,6767.0,Other,,"active-learning,c-plus-plus,contextual-bandits,cpp,learning-to-search,machine-learning,online-learning,reinforcement-learning",Vowpal Wabbit,https://github.com/JohnLangford/vowpal_wabbit,github,vowpal wabbit,vowpalwabbit,"['852009', '39434262']",same_repo,Binding
89202,1548014,npm,electron-apis,A JSON object describing Electron's APIs,"api,documentation,electron,json,markdown,node,schema",MIT,https://github.com/zeke/electron-apis,6,0,,0,11172348,GitHub,electron/electron-docs-linter,Parse and validate Electron's API documentation,False,16.0,,,,Electron,https://github.com/zeke/electron-apis,github,electron,electron,['25543319'],community,Binding
89214,1548184,npm,calibre-serve,A calibre API and server,"calibre,express,http,sqlite",MIT,https://github.com/Xananax/calibre-serve,12,0,,0,11172913,GitHub,Xananax/calibre-serve,A node.js Calibre API and server,False,35.0,,,,calibre,https://github.com/Xananax/calibre-serve,github,calibre,calibre,['29941545'],community,Binding
89278,1549206,Cargo,tensorflow-sys,The package provides bindings to TensorFlow.,,Apache-2.0,https://github.com/tensorflow/rust,21,2,,19,4944486,GitHub,tensorflow/rust,Rust language bindings for TensorFlow,False,2064.0,Apache-2.0,,"machine-learning,rust,tensorflow",TensorFlow,https://github.com/tensorflow/rust,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",same_repo_owner,Binding
89376,1550639,Cargo,tensorflux,The package provides an interface to TensorFlow.,,"Apache-2.0,MIT",https://github.com/stainless-steel/tensorflux,15,0,,0,11209387,GitHub,stainless-steel/tensorflux,Interface to TensorFlow,False,5.0,Other,,,TensorFlow,https://github.com/stainless-steel/tensorflux,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
89459,1551711,Clojars,cav/cljspark,Clojure wrapper for Spark.,,,,1,0,,0,,,,,,,,,,Spark,,,spark,spark,"['11846538', '27909023', '38722051']",community,Binding
89546,1553032,npm,dljs,Deep Learning in JavaScript,"deep learning,machine learning",MIT,https://github.com/dherault/dljs,1,1,,0,11243912,GitHub,dherault/dljs,Deep Learning in JavaScript,False,1.0,MIT,,,Deep Learning,https://github.com/dherault/dljs,github,deep learning,deeplearning,"['851269', '2966203', '2989847', '3068030', '3088491', '3459073', '3522986', '3768078', '3984140', '3984213', '4387572', '4611958', '4976042', '6229890', '6995779', '11786389', '18843917', '20081109', '20241548', '21718912', '24656936', '25411819', '25454467', '26873714', '27095120', '28451439', '29254147', '30621862', '30749079', '31595197', '33132158', '33200728', '35379437', '41184013']",community,Binding
90057,1560386,Cargo,qml,Safe QML bindings for Rust,"bindings,ffi,gui,qml,qt",MIT,https://github.com/White-Oak/qml-rust,9,1,,7,11374544,GitHub,White-Oak/qml-rust,QML (Qt Quick) bindings for Rust language,False,113.0,MIT,,,QML,,,qml,qml,"['24790838', '40539770']",community,Binding
90240,1563399,Packagist,lexismith/laravel-alchemy,Package for Laravel integration with Alchemy API,,MIT,https://github.com/alexandrasmith00/laravel-alchemy,0,0,,0,11433458,GitHub,alexandrasmith00/laravel-alchemy,,False,0.0,,,,Alchemy,,,alchemy,alchemy,"['13491787', '40396672']",community,Binding
90246,1563492,npm,node-caffe,Caffe bindings for node,caffe,MIT,https://github.com/silklabs/node-caffe,5,0,,0,16663039,GitHub,silklabs/node-caffe,Caffe bindings for node,False,24.0,,,,Caffe,https://github.com/silklabs/node-caffe,github,caffe,caffe,"['851994', '13013900']",community,Binding
90472,1565702,Clojars,keorn/stanfordnlp-clj,Simple wrapper for Stanford NLP tools.,,EPL-1.0,https://github.com/keorn/stanfordnlp-clj,1,0,,0,8775235,GitHub,keorn/stanfordnlp-clj,Simple Clojure wrapper for Stanford NLP tools,False,0.0,EPL-1.0,,,Stanford NLP,,,stanford nlp,stanfordnlp,['37860773'],community,Binding
90647,1567443,Rubygems,skeletor_api,The api client for accessing skeletor.,,MIT,,1,1,,0,,,,,,,,,,skeletor,https://www.github.com,github,skeletor,skeletor,['36813293'],community,Binding
90648,1567448,npm,electron-docs-linter,A JSON object describing Electron's APIs,"api,documentation,electron,json,markdown,node,schema",MIT,https://github.com/electron/electron-docs-linter,51,5,,118,11172348,GitHub,electron/electron-docs-linter,Parse and validate Electron's API documentation,False,16.0,,,,Electron,https://github.com/electron/electron-docs-linter,github,electron,electron,['25543319'],community,Binding
90709,1568210,Cargo,tensorflux-sys,The package provides bindings to TensorFlow.,,"Apache-2.0,MIT",https://github.com/stainless-steel/tensorflux-sys,4,1,,1,11178927,GitHub,stainless-steel/tensorflux-sys,Binding to TensorFlow,False,1.0,Other,,,TensorFlow,https://github.com/stainless-steel/tensorflux-sys,github,tensorflow,tensorflow,"['3109714', '27253426', '39323364']",community,Binding
90919,1570492,npm,@flow-atom/electron,Flow declarations for the Electron API,,ISC,https://github.com/flow-atom/flow-electron-api,1,1,,1,10539574,GitHub,flow-atom/flow-electron-api,Flow declarations for the Atom API,False,3.0,,,,Electron,https://github.com/flow-atom/flow-electron-api,github,electron,electron,['25543319'],community,Binding
91098,1572584,CPAN,Geo-libpostal,Perl bindings for libpostal,,BSD-2-Clause-FreeBSD,https://github.com/dnmfarrell/Geo-libpostal,7,0,,0,11685634,GitHub,dnmfarrell/Geo-libpostal,Perl bindings for libpostal,False,3.0,BSD-2-Clause,,,libpostal,,,libpostal,libpostal,['2895492'],community,Binding
91148,1573141,Packagist,resnext/solaris-api-client,PHP Client for Solaris platform,"api,solaris,Binary Options",MIT,https://github.com/resnext/solaris-api-client,6,0,,0,11678728,GitHub,resnext/solaris-api-client,API Client for binary options platform Solaris.,False,1.0,MIT,,,Solaris,,,solaris,solaris,['38955173'],community,Binding
91519,1579473,npm,winston-meta-wrapper,Wraps Winston logger to always add a set of metadata,"winston,metadata,wrapper",MIT,https://github.com/MicroMinion/winston-meta-wrapper,4,19,,18,11819045,GitHub,MicroMinion/winston-meta-wrapper,Wraps winston logger instance to always add a set of metadata,False,4.0,MIT,,,Winston,https://github.com/MicroMinion/winston-meta-wrapper,github,winston,winston,['72007'],community,Binding
91600,1581689,npm,suitape,A tiny wrapper for Tape to allow grouping tests in suites,"tape,suite,test",ISC,https://github.com/jartmez/suitape,7,2,,0,11852013,GitHub,jartmez/suitape,A tiny wrapper for Tape to allow grouping tests in suites,False,1.0,,,,Tape,https://github.com/jartmez/suitape,github,tape,tape,['40775741'],community,Binding
91688,1582657,npm,nova-base,Foundation for Nova API framework,"nova,action,framework",MIT,https://github.com/herculesinc/nova-base,30,5,,5,11881241,GitHub,herculesinc/nova-base,Foundation for Nova API framework,False,0.0,,,,Nova,https://github.com/herculesinc/nova-base,github,nova,nova,['12196552'],community,Binding
91815,1584113,npm,react-component-tape-util,Tape wrapper to test React components without all of that boilerplate,"react,testing,tape,component",ISC,https://github.com/wethersherbs/react-component-tape-util,3,0,,0,11924301,GitHub,wethersherbs/react-component-tape-util,Testing React Components without all that boilerplate,False,0.0,ISC,,,Tape,https://github.com/wethersherbs/react-component-tape-util,github,tape,tape,['40775741'],community,Binding
91875,1584604,Cargo,whereami,whereami for Rust,"filesystem,location,where,whereami",MIT,https://github.com/nabijaczleweli/whereami-rs,3,0,,0,11933210,GitHub,nabijaczleweli/whereami-rs,whereami for Rust,False,0.0,MIT,,,whereami,https://github.com/gpakosz/whereami,github,whereami,whereami,['13519338'],community,Binding
91909,1585019,NuGet,opencv.win.native,Pre-built OpenCV binaries on Windows (Win32 DLLs). This package contains native builds of OpenCV3 - C++ for Visual Studio 2015/2017. (Supports x86 and x64.),"OpenCV3,CVWin,OpenCV,Cpp,ComputerVision,VS2017,C++,VisualStudio,VS2015,windows,native,Win32,nativepackage",BSD-3-Clause,https://github.com/cvwin/cvwin,17,0,,18,11945947,GitHub,cvwin/cvwin,OpenCV build for .Net and UWP.,False,5.0,BSD-3-Clause,,,OpenCV,https://github.com/cvwin/cvwin/,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
92241,1587947,npm,hands,simple gamepad API interface for browser,"gamepad,API,controller",ISC,https://github.com/connorwalsh/hands-js,2,0,,0,12028678,GitHub,connorwalsh/hands-js,simple gamepad API for browser,False,0.0,,,,gamepad,https://github.com/connorwalsh/hands-js,github,gamepad,gamepad,['38470828'],community,Binding
92321,1588992,Packagist,pili-engineering/pili-sdk-php.v2,Pili Streaming Cloud Server-Side Library For PHP.,"cloud,streaming,flv,qiniu,dash,rtmp,pili,hls,hdl,hds,web-service",MIT,https://github.com/pili-engineering/pili-sdk-php.v2,2,2,,3,12063176,GitHub,pili-engineering/pili-sdk-php.v2,"Pili Streaming Cloud Server-Side Library For PHP, Version 2",False,31.0,MIT,,,Cloud,,,cloud,cloud,"['24218227', '36852984']",community,Binding
92627,1591995,npm,node-hackerrank,A Node.js library for the HackerRank API.,"HackerRank,Node",MIT,https://github.com/IvanFon/hackerrank,6,0,,4,12130866,GitHub,IvanFon/node-hackerrank,A Node.js library for the HackerRank API.,False,0.0,,,,HackerRank,https://github.com/IvanFon/hackerrank,github,hackerrank,hackerrank,['39033611'],community,Binding
93149,1597653,npm,origami-crane,Connects to Origami's stack,,ISC,https://gitlab.com/origami2/crane,30,3,,2,20259937,GitLab,origami2/crane,,False,0.0,,,,Origami,https://gitlab.com/origami2/crane,gitlab,origami,origami,"['8430530', '10540491']",community,Binding
93185,1597998,CocoaPods,OpenCV-iOS,OpenCV (Computer Vision) for iOS as a dynamic library.,,BSD-3-Clause,https://github.com/edc1591/opencv-ios,1,0,,0,12218476,GitHub,edc1591/opencv-ios,Open Source Computer Vision Library with some changes to build as a dynamic library on iOS,True,6.0,,,,OpenCV,https://github.com/edc1591/opencv-ios,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
93391,1600402,PyPI,fasttext,fasttext Python bindings,,MIT,https://github.com/facebookresearch/fastText,34,3,,95,12295220,GitHub,facebookresearch/fastText,Library for fast text representation and classification.,False,20327.0,MIT,,,fasttext,https://github.com/facebookresearch/fastText,github,fasttext,fasttext,['38193711'],community,Binding
93610,1603029,npm,origami-client,Origami stack client,,ISC,https://gitlab.com/origami2/client,24,6,,7,20260011,GitLab,origami2/client,,False,0.0,,,,Origami,https://gitlab.com/origami2/client,gitlab,origami,origami,"['8430530', '10540491']",community,Binding
93667,1603695,Clojars,reanimated,Reanimated is an animation library for Reagent (ClojureScript).,,,https://github.com/timothypratley/reanimated,6,0,,9,2807618,GitHub,timothypratley/reanimated,An animation library for Reagent (ClojureScript),False,205.0,,,,Reagent,,,reagent,reagent,['28705875'],community,Binding
